budget_id,month,year,month_number,category,budget_category,budget_amount
BUD00001,2025-01,2025,1,Food,Essentials,651
BUD00002,2025-01,2025,1,Transport,Essentials,264
BUD00003,2025-01,2025,1,Bills,Essentials,425
BUD00004,2025-01,2025,1,Health,Essentials,151
BUD00005,2025-01,2025,1,Shopping,Lifestyle,287
BUD00006,2025-01,2025,1,Entertainment,Lifestyle,137
BUD00007,2025-01,2025,1,Education,Growth,262
BUD00008,2025-02,2025,2,Food,Essentials,709
BUD00009,2025-02,2025,2,Transport,Essentials,181
BUD00010,2025-02,2025,2,Bills,Essentials,465
BUD00011,2025-02,2025,2,Health,Essentials,174
BUD00012,2025-02,2025,2,Shopping,Lifestyle,238
BUD00013,2025-02,2025,2,Entertainment,Lifestyle,123
BUD00014,2025-02,2025,2,Education,Growth,113
BUD00015,2025-03,2025,3,Food,Essentials,625
BUD00016,2025-03,2025,3,Transport,Essentials,199
BUD00017,2025-03,2025,3,Bills,Essentials,454
BUD00018,2025-03,2025,3,Health,Essentials,197
BUD00019,2025-03,2025,3,Shopping,Lifestyle,236
BUD00020,2025-03,2025,3,Entertainment,Lifestyle,191
BUD00021,2025-03,2025,3,Education,Growth,140
BUD00022,2025-04,2025,4,Food,Essentials,709
BUD00023,2025-04,2025,4,Transport,Essentials,223
BUD00024,2025-04,2025,4,Bills,Essentials,418
BUD00025,2025-04,2025,4,Health,Essentials,177
BUD00026,2025-04,2025,4,Shopping,Lifestyle,380
BUD00027,2025-04,2025,4,Entertainment,Lifestyle,155
BUD00028,2025-04,2025,4,Education,Growth,91
BUD00029,2025-05,2025,5,Food,Essentials,610
BUD00030,2025-05,2025,5,Transport,Essentials,259
BUD00031,2025-05,2025,5,Bills,Essentials,444
BUD00032,2025-05,2025,5,Health,Essentials,163
BUD00033,2025-05,2025,5,Shopping,Lifestyle,301
BUD00034,2025-05,2025,5,Entertainment,Lifestyle,139
BUD00035,2025-05,2025,5,Education,Growth,145
BUD00036,2025-06,2025,6,Food,Essentials,656
BUD00037,2025-06,2025,6,Transport,Essentials,183
BUD00038,2025-06,2025,6,Bills,Essentials,401
BUD00039,2025-06,2025,6,Health,Essentials,168
BUD00040,2025-06,2025,6,Shopping,Lifestyle,379
BUD00041,2025-06,2025,6,Entertainment,Lifestyle,290
BUD00042,2025-06,2025,6,Education,Growth,157
BUD00043,2025-07,2025,7,Food,Essentials,581
BUD00044,2025-07,2025,7,Transport,Essentials,263
BUD00045,2025-07,2025,7,Bills,Essentials,448
BUD00046,2025-07,2025,7,Health,Essentials,188
BUD00047,2025-07,2025,7,Shopping,Lifestyle,261
BUD00048,2025-07,2025,7,Entertainment,Lifestyle,238
BUD00049,2025-07,2025,7,Education,Growth,186
BUD00050,2025-08,2025,8,Food,Essentials,590
BUD00051,2025-08,2025,8,Transport,Essentials,240
BUD00052,2025-08,2025,8,Bills,Essentials,427
BUD00053,2025-08,2025,8,Health,Essentials,226
BUD00054,2025-08,2025,8,Shopping,Lifestyle,390
BUD00055,2025-08,2025,8,Entertainment,Lifestyle,199
BUD00056,2025-08,2025,8,Education,Growth,315
BUD00057,2025-09,2025,9,Food,Essentials,619
BUD00058,2025-09,2025,9,Transport,Essentials,260
BUD00059,2025-09,2025,9,Bills,Essentials,398
BUD00060,2025-09,2025,9,Health,Essentials,125
BUD00061,2025-09,2025,9,Shopping,Lifestyle,399
BUD00062,2025-09,2025,9,Entertainment,Lifestyle,149
BUD00063,2025-09,2025,9,Education,Growth,164
BUD00064,2025-10,2025,10,Food,Essentials,590
BUD00065,2025-10,2025,10,Transport,Essentials,199
BUD00066,2025-10,2025,10,Bills,Essentials,500
BUD00067,2025-10,2025,10,Health,Essentials,132
BUD00068,2025-10,2025,10,Shopping,Lifestyle,327
BUD00069,2025-10,2025,10,Entertainment,Lifestyle,155
BUD00070,2025-10,2025,10,Education,Growth,206
BUD00071,2025-11,2025,11,Food,Essentials,663
BUD00072,2025-11,2025,11,Transport,Essentials,190
BUD00073,2025-11,2025,11,Bills,Essentials,437
BUD00074,2025-11,2025,11,Health,Essentials,165
BUD00075,2025-11,2025,11,Shopping,Lifestyle,448
BUD00076,2025-11,2025,11,Entertainment,Lifestyle,154
BUD00077,2025-11,2025,11,Education,Growth,108
BUD00078,2025-12,2025,12,Food,Essentials,796
BUD00079,2025-12,2025,12,Transport,Essentials,238
BUD00080,2025-12,2025,12,Bills,Essentials,483
BUD00081,2025-12,2025,12,Health,Essentials,151
BUD00082,2025-12,2025,12,Shopping,Lifestyle,410
BUD00083,2025-12,2025,12,Entertainment,Lifestyle,225
BUD00084,2025-12,2025,12,Education,Growth,146
